PERIODO,FECHA,HORA,NO2_CENTENARIO,PM10_CENTENARIO,PM10_CORDOBA,PM10_LA_BOCA,CO_PALERMO
2009,01/10/2009,14,20,S/D,S/D,S/D,S/D
2009,02/10/2009,1,68,35,30,19,34
2009,04/10/2009,13,24,9,6,6,11
2009,05/10/2009,1,51,22,21,17,16
2009,06/10/2009,1,73,28,19,17,S/D
2009,07/10/2009,1,44,30,32,26,S/D
2009,08/10/2009,1,58,35,34,29,S/D
2009,09/10/2009,1,49,20,17,11,S/D
2009,12/10/2009,13,2,14,18,8,S/D
2009,13/10/2009,1,46,21,19,23,S/D
2009,14/10/2009,1,44,10,19,8,S/D
2009,15/10/2009,1,53,18,21,18,S/D
2009,16/10/2009,1,7,22,15,22,S/D
2009,18/10/2009,13,34,15,8,11,S/D
2009,19/10/2009,1,49,23,19,16,S/D
2009,20/10/2009,1,13,50,40,48,S/D
2009,21/10/2009,1,74,33,26,25,S/D
2009,22/10/2009,1,89,39,48,33,S/D
2009,23/10/2009,1,74,23,32,15,S/D
2009,26/10/2009,1,71,23,22,6,S/D
2009,27/10/2009,1,46,25,19,9,S/D
2009,28/10/2009,1,64,22,13,15,S/D
2009,01/11/2009,13,55,15,19,18,S/D
2009,02/11/2009,1,44,21,15,13,S/D
2009,04/11/2009,1,69,20,17,16,S/D
2009,05/11/2009,1,78,26,21,22,S/D
2009,06/11/2009,1,85,21,28,22,S/D
2009,07/11/2009,1,5,14,24,13,S/D
2009,08/11/2009,1,5,28,20,22,S/D
2009,09/11/2009,1,63,20,17,20,S/D
2009,10/11/2009,1,83,37,33,36,S/D
2009,11/11/2009,1,9,42,S/D,32,S/D
2009,12/11/2009,1,73,25,19,21,S/D
2009,13/11/2009,1,74,34,16,21,S/D
2009,14/11/2009,1,93,30,27,30,S/D
2009,15/11/2009,1,49,20,23,16,S/D
2009,16/11/2009,1,63,38,23,34,S/D
2009,17/11/2009,1,58,10,10,12,S/D
2009,18/11/2009,1,63,21,29,15,S/D
